,first_hour_move,open_to_close_move,power_hour_move,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
2556,"0,01379010138","0,05827020583","0,0190273565","0,085","0,003",#VALUE!,"0,882","0,003","0,42","0,95","0,003"
2557,"0,02146566647","-0,006155029813","-0,007376954701","0,076","0,461","0,356","0,861","0,003","0,428","0,003","0,907"
2558,"-0,0001276215595","-0,006636321096","-0,009333503033","0,073","0,003",#VALUE!,"0,821","0,003","0,118","0,861","0,003"
2559,"-0,006282351597","-0,005684739759","0,005691996533","0,083","0,003","0,603","0,244","0,003","0,445","0,754","0,003"
2560,"0,02553559104","-0,01547708576","-0,003446471926","0,08","0,003","0,642","0,485","0,003","0,399","0,754","0,003"
2561,"-0,01216935688","-0,01876109186","0,009564385706","0,038","0,765","0,419","0,882","0,003","0,443","0,003","0,737"
2562,"0,005465055176","0,04140830268","-0,002867924528","0,028","0,003","0,645","0,892","0,003","0,492","0,003","0,518"
2563,"-0,004029432376","0,01257883672","0,004693366708","0,721","0,003","0,639","0,01","0,003","0,432","0,51","0,003"
2564,"-0,01556056701","-0,01027999063","0,005788948911","0,02","0,779","0,458","0,982","0,003","0,384","0,003","0,759"
2565,"-0,01900280518","-0,001266853678","-0,003964468686","0,078","0,003","0,984","0,595","0,003","0,01","0,003","0,482"
2566,"-0,01632653061","-0,03218923933","-0,009399924041","0,025","0,003","0,789","0,887","0,003","0,068","0,003","0,751"
2567,"-0,0112448594","0,02540291208","-0,002319671245","0,075","0,003","0,563","0,691","0,003","0,45","0,95","0,003"
2568,"0,02954020036","0,08098785366","0,01666954271","0,018","0,003","0,979","0,932","0,003","0,389","0,977","0,003"
2569,"0,004800348237","0,001970923835","0,002144607843","0,377","0,003","0,953","0,04","0,003","0,04","0,003","0,505"
2570,"0,005479576125","0,009600579658","0,003766714062","0,045","0,388","0,893","0,903","0,003","0,069","0,526","0,003"
2571,"-0,002100966445","0,01344618525","0,003924600107","0,065","0,922","0,393","0,66","0,003","0,751","0,003","0,7"
